student_id,attendance,study_hours,quiz_score,assignment_score,midterm_score,sleep_hours,lms_login_count,participation,parent_education,internet_access,family_income,extracurricular,final_grade,risk_level
24,56.63,2.18,33.77,99.54,74.72,6.87,4,37.81,Master,Yes,Low,No,C,Medium
25,69.83,1.94,83.17,86.44,66.85,5.43,21,40.85,Bachelor,Yes,Low,No,C,Medium
26,79.66,1.9,56.23,60.26,58.51,5.06,8,50.71,High School,Yes,High,No,C,Medium
27,60.74,2.01,63.89,69.44,76.9,7.69,32,65.04,Bachelor,Yes,Medium,Yes,C,Medium
28,83.64,2.13,65.1,81.62,48.01,7.57,39,47.78,High School,Yes,Low,Yes,C,Medium
29,68.99,4.22,64.81,76.29,68.97,5.82,25,60.92,Bachelor,Yes,Low,Yes,B,Low
30,73.62,0.5,28.41,83.4,70.36,7.14,32,66.43,Bachelor,Yes,Low,No,C,Medium
31,68.97,2.24,77.89,69.89,80.35,7.89,42,68.94,High School,Yes,Medium,Yes,B,Low
32,100.0,3.32,80.02,61.48,72.24,6.0,44,85.31,Master,Yes,Medium,No,B,Low
33,77.8,5.57,82.22,70.12,55.65,6.93,34,99.78,Master,No,Medium,Yes,A,Low
34,62.13,3.06,73.77,50.99,85.46,8.63,19,76.39,PhD,Yes,High,Yes,B,Low
35,90.34,3.22,61.27,63.98,78.91,6.76,15,61.89,High School,No,Medium,Yes,C,Medium
36,59.69,3.34,38.58,68.79,37.52,8.52,34,42.01,High School,Yes,Low,No,C,Medium
37,81.13,0.5,73.07,74.45,72.48,6.61,26,59.47,High School,Yes,Medium,Yes,C,Medium
38,48.6,4.69,65.69,95.59,68.5,4.8,10,50.82,Bachelor,Yes,Medium,No,B,Low
39,58.08,4.61,64.96,52.3,84.21,6.12,9,66.19,Master,Yes,Low,No,B,Low
40,80.95,4.97,72.93,93.35,83.36,6.29,16,100.0,Master,No,High,No,B,Low
41,89.08,8.01,64.19,75.0,64.06,5.61,19,6.98,High School,Yes,Medium,Yes,A,Low
42,80.57,1.16,57.01,29.96,47.56,5.56,10,50.9,PhD,Yes,Medium,No,D,High
43,76.27,0.82,43.76,88.06,55.77,4.91,32,72.61,High School,Yes,Low,Yes,C,Medium
44,73.48,4.77,64.89,66.48,70.81,5.2,11,36.09,High School,Yes,Medium,No,B,Low
45,55.82,2.89,91.52,92.54,65.33,9.12,41,75.51,Bachelor,Yes,Medium,No,B,Low
46,67.2,1.73,45.15,58.3,72.85,6.0,44,40.37,Bachelor,Yes,Medium,No,C,Medium
47,71.09,2.99,83.06,61.85,82.06,6.34,29,53.21,High School,Yes,Medium,Yes,B,Low
48,93.86,2.39,77.86,80.56,66.94,7.65,6,70.96,High School,Yes,Medium,Yes,C,Medium
49,83.15,6.6,34.18,41.13,60.7,6.55,15,71.3,Master,Yes,Medium,No,B,Low
50,51.55,7.57,75.95,56.68,48.98,9.09,24,55.32,Bachelor,Yes,High,No,A,Low
51,82.86,0.56,65.33,43.79,8.85,6.1,24,56.65,Bachelor,Yes,High,No,D,High
52,72.22,0.84,63.5,52.38,55.95,6.76,36,33.74,Master,Yes,High,No,C,Medium
53,67.85,2.13,100.0,94.09,62.15,5.73,13,85.28,Bachelor,Yes,High,No,B,Low
54,87.18,2.26,81.94,52.46,43.74,7.24,32,61.08,Bachelor,Yes,High,Yes,C,Medium
55,93.46,2.1,48.29,56.12,75.43,6.16,8,73.15,Bachelor,Yes,Medium,Yes,C,Medium
56,91.97,3.15,76.52,22.93,47.53,4.89,22,72.41,High School,Yes,Low,No,C,Medium
57,65.41,2.7,48.5,57.7,61.33,8.09,36,37.6,High School,Yes,High,Yes,C,Medium
58,73.36,1.06,49.25,18.65,54.86,6.02,21,76.29,Bachelor,No,Low,No,D,High
59,82.97,1.65,67.89,72.71,95.13,7.63,31,53.47,Bachelor,Yes,Medium,No,C,Medium
60,92.63,6.28,86.13,80.42,92.67,9.9,15,98.73,Bachelor,Yes,Medium,No,A,Low
61,70.81,2.86,38.23,75.08,74.98,7.79,34,76.11,Bachelor,Yes,High,No,B,Low
62,75.22,2.76,55.93,43.66,61.82,5.31,30,94.01,Master,Yes,Low,Yes,C,Medium
63,61.4,0.76,86.17,66.95,71.16,5.91,13,47.05,High School,Yes,Medium,No,D,High
64,60.06,2.67,48.07,75.05,61.12,7.99,20,51.06,PhD,Yes,Low,Yes,C,Medium
65,90.19,5.23,65.57,61.8,80.29,6.69,10,37.74,PhD,Yes,Medium,No,B,Low
66,98.34,4.57,59.41,47.31,76.63,6.94,5,88.52,High School,Yes,Low,Yes,B,Low
67,76.92,4.96,87.98,83.15,75.58,5.62,34,74.11,Bachelor,No,Low,Yes,A,Low
68,93.05,1.33,70.74,48.65,68.17,8.7,20,67.54,Bachelor,Yes,Medium,Yes,C,Medium
69,83.42,1.3,59.62,75.57,71.74,6.44,18,57.94,Master,Yes,Medium,Yes,C,Medium
70,68.32,5.54,49.94,68.32,79.96,7.28,37,32.54,Bachelor,Yes,Low,No,B,Low
71,83.42,4.99,100.0,91.62,100.0,7.99,15,98.66,Bachelor,Yes,Medium,Yes,A,Low
72,100.0,3.03,63.64,100.0,82.44,6.0,28,89.17,Bachelor,Yes,Medium,Yes,B,Low
73,77.46,5.04,60.93,58.92,35.95,8.66,20,28.23,Bachelor,Yes,Medium,No,B,Low
74,100.0,1.33,73.99,49.13,60.25,7.39,17,7.6,PhD,Yes,Low,Yes,C,Medium
75,38.7,1.26,77.94,70.26,50.5,6.16,14,81.93,High School,Yes,Low,No,D,High
76,90.33,0.59,39.8,68.56,61.76,6.54,2,57.47,High School,Yes,Medium,Yes,D,High
77,79.31,4.15,61.58,77.81,59.67,5.15,29,93.26,Master,Yes,Low,Yes,B,Low
78,73.51,3.89,45.7,55.86,59.01,9.03,6,61.85,High School,No,Low,No,C,Medium
79,79.38,2.56,54.84,55.91,71.82,8.76,6,64.87,Bachelor,Yes,Medium,Yes,C,Medium
80,48.19,2.1,87.92,66.5,60.75,6.23,21,32.64,Bachelor,Yes,Low,Yes,C,Medium
81,74.7,7.85,85.76,72.83,78.38,7.14,37,58.04,High School,Yes,High,Yes,A,Low
82,83.36,3.03,75.6,49.84,55.69,6.44,39,24.37,Bachelor,Yes,Medium,Yes,C,Medium
83,100.0,6.0,39.71,65.99,45.36,6.71,33,68.99,High School,Yes,High,No,A,Low
84,70.23,3.24,68.36,66.74,60.75,5.02,30,99.48,High School,Yes,Low,No,C,Medium
85,65.87,2.6,54.64,78.52,51.54,7.99,3,40.87,High School,Yes,Low,No,C,Medium
86,70.47,6.05,82.85,66.69,82.18,7.56,29,51.13,Master,No,Medium,Yes,A,Low
87,91.73,4.92,54.86,86.54,77.12,6.74,10,53.89,Bachelor,Yes,Low,No,B,Low
88,82.93,3.46,50.1,78.5,85.47,5.36,10,44.69,Bachelor,Yes,Low,Yes,C,Medium
89,70.05,5.54,71.49,39.56,42.62,7.33,14,55.59,Bachelor,Yes,Medium,No,B,Low
90,85.7,8.04,86.84,64.28,30.31,4.62,19,67.89,Bachelor,Yes,Medium,No,A,Low
91,79.46,2.18,84.22,86.57,96.62,6.19,3,90.95,Bachelor,No,Medium,Yes,C,Medium
92,92.53,4.35,88.39,53.12,39.14,5.87,35,37.0,Bachelor,Yes,Medium,Yes,B,Low
93,67.47,2.76,88.55,72.31,78.08,5.38,27,77.4,Bachelor,Yes,Medium,Yes,B,Low
94,73.09,1.82,94.39,74.02,75.6,10.0,29,75.58,High School,No,Medium,No,C,Medium
95,72.12,1.77,68.25,70.28,62.54,6.62,34,27.69,Bachelor,Yes,High,No,C,Medium
96,56.05,6.37,57.0,61.9,57.31,7.3,37,60.97,Bachelor,Yes,High,Yes,B,Low
97,82.44,0.5,50.14,68.79,42.36,7.97,25,51.54,Bachelor,No,Low,Yes,D,High
98,81.92,4.41,86.5,59.0,85.81,7.78,7,31.26,Bachelor,Yes,Medium,Yes,B,Low
99,78.08,2.01,61.89,56.48,76.73,5.86,41,66.28,Master,Yes,Medium,No,B,Low
100,74.48,6.69,48.62,82.8,100.0,5.36,42,65.12,Bachelor,Yes,Low,Yes,A,Low
101,56.77,3.01,74.41,63.13,59.88,6.16,35,24.56,High School,Yes,High,Yes,B,Low
102,71.69,2.84,38.95,100.0,60.94,7.05,15,58.63,Bachelor,Yes,High,No,C,Medium
103,72.86,6.33,45.56,44.66,39.14,6.13,28,43.71,Bachelor,No,High,No,C,Medium
104,65.97,5.08,68.91,70.03,75.26,6.98,43,34.05,Master,Yes,Medium,Yes,B,Low
105,75.58,4.5,80.88,55.0,18.23,7.63,30,44.27,Bachelor,Yes,Medium,No,B,Low
106,84.06,4.95,59.04,80.39,26.74,9.37,40,33.53,Bachelor,Yes,Medium,No,B,Low
107,100.0,1.55,60.81,49.76,66.35,8.88,31,78.33,Bachelor,Yes,High,Yes,B,Low
108,80.62,4.84,79.16,85.96,71.93,6.39,12,75.33,Master,Yes,Medium,No,B,Low
109,81.86,3.14,79.92,79.87,49.62,7.3,4,43.27,High School,Yes,Low,Yes,C,Medium
110,76.88,4.15,27.65,51.2,39.18,7.07,34,68.1,Bachelor,Yes,Low,No,C,Medium
111,49.22,4.37,91.7,62.34,62.69,4.63,22,68.8,Master,Yes,Medium,No,C,Medium
112,77.6,1.5,59.11,75.18,47.73,6.95,41,74.49,High School,Yes,Low,Yes,C,Medium
113,78.9,4.57,51.56,83.27,47.23,5.9,29,93.35,Bachelor,Yes,Medium,Yes,B,Low
114,100.0,3.16,56.57,77.57,71.97,8.29,9,75.71,Bachelor,No,High,No,B,Low
115,75.11,1.27,40.44,64.49,100.0,7.84,12,70.23,Bachelor,Yes,Medium,No,C,Medium
116,82.52,3.24,100.0,100.0,49.54,4.91,40,82.64,Master,Yes,Low,No,B,Low
117,77.48,3.54,41.51,87.09,62.12,6.8,40,53.79,Bachelor,Yes,Medium,No,B,Low
118,60.47,4.57,38.02,52.77,63.91,6.05,16,63.22,PhD,Yes,Medium,Yes,C,Medium
119,95.14,0.5,60.29,68.62,43.87,8.33,29,70.56,PhD,Yes,High,No,C,Medium
120,89.28,4.2,40.16,100.0,57.44,6.39,7,47.18,Bachelor,Yes,Low,No,B,Low
121,89.87,2.58,67.2,74.47,58.39,7.85,39,61.92,High School,Yes,Low,Yes,B,Low
122,64.36,4.96,94.55,68.49,57.04,8.32,6,54.81,Bachelor,Yes,Medium,No,B,Low
123,99.04,3.5,67.97,61.57,50.51,5.89,5,43.79,High School,Yes,Medium,Yes,C,Medium
124,56.97,2.9,71.1,50.52,67.3,7.25,35,78.05,High School,Yes,High,No,B,Low
125,86.8,3.18,59.76,66.74,59.58,7.58,35,48.94,High School,No,Medium,Yes,C,Medium
126,100.0,4.1,46.26,65.81,16.79,10.0,11,47.83,Bachelor,Yes,Medium,Yes,C,Medium
127,63.14,5.13,59.74,44.15,100.0,7.84,34,54.66,PhD,Yes,High,Yes,A,Low
128,69.51,1.9,83.98,54.14,42.7,6.06,16,51.12,Bachelor,Yes,Low,No,C,Medium
129,79.49,2.88,89.44,83.24,38.53,10.0,11,79.8,High School,Yes,Medium,Yes,B,Low
130,70.45,6.14,65.75,48.98,17.53,7.7,12,61.65,High School,Yes,Low,Yes,B,Low
131,54.74,2.85,80.79,64.91,97.58,9.22,18,44.2,Master,Yes,Low,Yes,B,Low
132,79.03,4.16,51.05,75.42,42.01,8.05,42,75.73,Bachelor,Yes,Low,No,B,Low
133,62.07,1.28,53.93,76.32,23.73,7.2,27,40.0,High School,Yes,Medium,No,D,High
134,85.1,0.5,36.2,93.12,50.16,9.62,43,65.12,High School,Yes,Low,No,C,Medium
135,64.21,1.63,84.96,62.95,74.31,4.0,38,25.92,High School,Yes,Low,Yes,C,Medium
136,100.0,2.26,54.63,68.28,52.06,5.59,42,34.05,Bachelor,Yes,Medium,Yes,C,Medium
137,66.25,5.37,41.1,95.75,23.77,9.1,24,72.52,Bachelor,Yes,Low,No,B,Low
138,73.17,5.57,74.03,57.82,56.65,6.04,14,23.44,Master,No,Medium,No,B,Low
139,90.2,0.5,89.18,67.61,43.44,4.65,34,73.59,Bachelor,Yes,Medium,No,C,Medium
140,59.54,2.53,58.32,69.88,74.87,8.57,18,48.47,High School,Yes,Medium,No,C,Medium
141,81.41,4.76,33.12,65.78,55.5,7.23,35,24.41,Master,Yes,High,Yes,B,Low
142,97.61,3.31,59.17,83.91,69.58,5.83,38,67.77,High School,Yes,Low,Yes,B,Low
143,53.89,6.21,69.3,29.8,79.7,8.37,14,45.56,High School,No,Medium,Yes,B,Low
144,80.77,4.71,75.72,60.42,64.01,5.29,10,41.9,High School,Yes,Medium,No,B,Low
145,81.9,3.02,78.98,79.44,65.15,5.09,3,86.14,High School,No,Medium,Yes,C,Medium
146,89.73,3.18,66.37,53.54,70.86,5.4,12,41.21,High School,No,Medium,Yes,C,Medium
147,59.45,3.4,60.34,55.08,66.85,8.91,11,25.04,Master,Yes,High,No,C,Medium
148,58.19,1.98,77.34,61.68,39.19,6.66,10,37.0,Master,Yes,Low,No,D,High
149,85.83,5.19,41.18,91.57,33.44,6.82,22,52.63,Bachelor,Yes,High,Yes,B,Low
150,82.45,4.84,47.56,71.52,100.0,8.88,18,49.49,Master,No,Medium,Yes,B,Low
151,81.76,4.32,51.91,65.69,100.0,7.2,18,22.95,Bachelor,Yes,High,Yes,B,Low
152,83.2,3.94,57.05,49.4,27.24,7.82,37,71.61,Bachelor,Yes,Low,Yes,B,Low
153,67.8,1.67,40.11,71.37,49.01,7.34,24,50.48,High School,Yes,Medium,Yes,C,Medium
154,81.48,4.41,82.5,45.72,67.93,6.92,9,94.56,Master,Yes,Medium,No,B,Low
155,82.4,3.73,43.18,33.66,67.19,8.5,43,92.12,High School,No,Low,Yes,B,Low
156,67.28,7.1,16.61,61.45,67.33,4.89,43,86.39,Bachelor,Yes,High,Yes,A,Low
157,100.0,1.17,82.76,30.3,42.14,7.4,3,53.45,High School,No,Low,Yes,D,High
158,85.11,2.2,74.28,63.35,54.85,8.71,6,93.63,Bachelor,No,High,Yes,C,Medium
159,60.13,0.64,63.91,85.75,84.53,9.0,37,47.9,High School,Yes,High,Yes,C,Medium
160,87.85,3.11,73.43,93.04,63.96,6.51,44,49.84,High School,Yes,Medium,Yes,B,Low
161,63.38,0.5,66.96,81.87,52.29,5.07,22,74.64,High School,Yes,Low,Yes,D,High
162,89.81,5.63,85.95,84.02,41.75,5.76,31,44.51,High School,Yes,Medium,Yes,A,Low
163,95.38,5.47,51.17,62.82,80.03,8.88,32,65.94,Bachelor,Yes,Low,Yes,A,Low
164,65.69,3.21,96.23,55.96,64.97,6.03,44,100.0,Master,Yes,Medium,No,B,Low
165,92.45,1.68,82.06,75.94,54.63,9.47,37,69.9,Bachelor,Yes,Low,No,B,Low
166,84.19,0.76,54.08,80.73,73.06,5.63,3,65.32,High School,Yes,Low,No,D,High
167,90.33,2.23,51.21,74.45,59.72,6.38,30,68.58,High School,Yes,Medium,Yes,C,Medium
168,100.0,4.63,67.64,67.95,25.56,7.24,25,54.81,Master,No,Low,No,B,Low
169,74.32,2.08,44.77,47.35,74.76,5.83,24,57.64,Bachelor,Yes,Low,No,C,Medium
170,66.69,6.94,61.3,35.82,100.0,7.18,44,50.29,Bachelor,Yes,Medium,Yes,A,Low
171,64.66,6.18,89.23,68.43,37.32,7.92,32,67.35,High School,No,Low,Yes,A,Low
172,65.76,3.5,68.28,87.61,70.33,6.84,37,49.91,High School,Yes,Medium,Yes,B,Low
173,76.84,2.67,100.0,50.01,50.14,8.85,31,67.1,Bachelor,Yes,Medium,Yes,C,Medium
174,83.12,2.48,51.14,73.8,87.54,5.87,3,44.43,Master,Yes,High,No,B,Low
175,82.15,6.38,73.14,76.19,64.99,7.75,16,90.39,High School,Yes,Medium,No,A,Low
176,90.41,2.32,55.42,74.51,77.52,8.56,10,67.41,High School,Yes,Medium,No,B,Low
177,78.2,5.18,61.27,52.6,25.98,6.34,14,36.56,Bachelor,Yes,Low,Yes,C,Medium
178,99.8,3.54,74.01,40.46,53.61,10.0,36,60.1,High School,Yes,Low,No,B,Low
179,74.03,4.78,51.79,52.88,29.09,7.71,10,37.48,Bachelor,Yes,Low,No,C,Medium
180,100.0,2.02,49.48,69.73,52.33,7.85,34,57.44,Bachelor,Yes,High,Yes,B,Low
181,87.39,2.9,56.61,56.24,66.88,6.42,41,61.22,Bachelor,Yes,Low,Yes,B,Low
182,65.14,3.46,55.32,64.73,71.23,6.33,39,45.4,High School,Yes,Medium,No,C,Medium
183,61.94,2.36,46.82,64.01,63.5,7.54,26,50.36,Master,Yes,Medium,No,C,Medium
184,85.24,5.75,91.0,62.56,71.74,5.21,44,31.67,Master,Yes,Medium,Yes,A,Low
185,74.65,2.12,59.53,70.52,52.12,6.23,32,58.16,Bachelor,Yes,Low,No,C,Medium
186,88.71,2.46,79.94,52.11,34.77,9.14,3,54.51,High School,Yes,Medium,No,C,Medium
187,85.1,5.95,78.65,77.15,64.86,7.48,39,58.35,High School,Yes,High,Yes,A,Low
188,76.91,5.6,83.45,52.1,59.81,5.09,34,78.47,Bachelor,Yes,Low,No,B,Low
189,65.3,6.36,40.95,71.25,96.74,7.95,5,30.24,Master,Yes,Medium,No,B,Low
190,55.28,0.5,58.71,58.58,85.25,5.54,25,32.99,High School,Yes,Medium,No,D,High
191,71.3,3.86,77.36,57.41,85.67,5.98,10,69.76,Bachelor,Yes,Medium,Yes,B,Low
192,90.85,3.66,53.92,66.96,49.74,6.5,20,75.25,Bachelor,No,Low,No,C,Medium
193,81.21,2.49,91.78,64.42,62.43,7.16,30,69.81,High School,Yes,Medium,Yes,B,Low
194,59.31,4.08,42.89,71.06,69.48,8.42,42,87.55,Master,No,Medium,Yes,B,Low
195,80.6,2.92,79.77,73.08,41.92,7.25,26,70.6,Bachelor,No,Low,No,C,Medium
196,83.78,3.79,56.96,36.35,39.26,6.6,28,71.71,Master,Yes,High,Yes,C,Medium
197,64.74,9.62,83.91,73.93,46.94,4.78,12,85.24,High School,Yes,Low,No,A,Low
198,80.31,4.07,69.85,73.99,46.11,7.25,15,77.19,High School,Yes,Low,No,B,Low
199,78.87,4.15,49.78,68.19,72.47,8.01,36,32.57,Master,Yes,Low,Yes,B,Low
200,60.86,4.98,79.76,80.24,68.68,5.91,8,52.8,High School,Yes,Medium,Yes,B,Low
201,83.37,3.83,33.89,73.25,61.08,7.94,8,57.25,PhD,Yes,Medium,No,C,Medium
202,86.41,1.52,58.74,47.87,64.38,6.17,38,48.97,High School,Yes,Medium,No,C,Medium
203,94.25,0.54,56.8,92.83,60.01,6.79,12,42.12,Bachelor,Yes,Medium,Yes,C,Medium
204,93.81,3.45,72.78,75.1,54.6,7.79,17,34.77,Master,Yes,Medium,No,B,Low
205,57.33,3.02,16.62,47.5,53.76,5.45,40,51.4,Bachelor,No,Medium,Yes,C,Medium
206,63.93,0.5,69.2,58.86,25.47,4.98,15,92.11,Master,Yes,High,No,F,High
207,85.73,6.43,71.71,60.17,56.46,7.19,9,49.59,Bachelor,Yes,Low,Yes,B,Low
208,85.71,3.69,50.7,74.83,54.54,8.18,44,59.3,Master,Yes,Medium,No,B,Low
209,85.73,6.09,59.53,80.63,48.43,8.05,28,49.66,Bachelor,Yes,Medium,No,A,Low
210,100.0,0.5,65.63,70.31,49.49,7.44,6,74.94,High School,No,Medium,No,D,High
211,86.56,6.13,82.03,75.93,62.81,5.98,22,59.06,Master,Yes,High,No,A,Low
212,95.03,2.63,26.03,74.33,54.37,4.29,19,42.16,Master,Yes,Medium,No,C,Medium
213,92.31,5.77,63.97,31.91,77.11,7.09,22,81.18,Master,Yes,Low,Yes,B,Low
214,87.77,3.89,73.64,52.76,32.92,7.03,38,66.75,Bachelor,Yes,Medium,No,B,Low
215,73.27,4.32,76.26,29.31,80.87,5.47,5,61.02,Master,Yes,Medium,No,C,Medium
216,89.38,4.32,61.07,55.42,88.42,6.06,44,50.23,Master,Yes,Medium,No,B,Low
217,66.41,2.73,75.33,64.25,77.67,5.61,33,78.73,Bachelor,Yes,High,No,B,Low
218,74.45,2.34,63.68,47.2,18.45,4.0,3,57.09,High School,Yes,High,Yes,D,High
219,70.72,2.85,85.28,61.83,66.3,7.09,12,54.95,Bachelor,Yes,Low,Yes,C,Medium
220,79.23,0.85,49.97,74.17,38.45,5.06,35,58.28,Bachelor,Yes,Low,No,D,High
221,100.0,2.63,53.07,71.08,43.6,5.22,33,56.37,High School,Yes,Medium,No,C,Medium
222,49.99,2.25,73.31,59.98,54.52,5.84,29,52.07,Bachelor,Yes,Medium,Yes,C,Medium
223,88.29,0.81,76.63,50.72,65.23,4.05,9,27.22,High School,Yes,Medium,No,D,High
224,53.81,4.33,74.04,78.41,79.21,6.26,33,58.19,High School,Yes,Medium,No,A,Low
225,70.92,3.51,57.34,79.01,66.17,5.18,31,80.07,Bachelor,Yes,Low,No,B,Low
226,94.33,3.94,57.62,88.07,49.43,6.44,43,69.44,Master,Yes,High,No,B,Low
227,78.96,4.76,64.78,55.78,93.07,7.02,27,58.23,Bachelor,Yes,High,No,B,Low
228,61.83,3.07,45.17,38.46,84.21,6.56,33,61.77,PhD,Yes,Medium,No,C,Medium
229,67.27,1.81,50.3,74.61,30.04,5.55,7,62.57,High School,No,Medium,No,F,High
230,88.19,4.05,91.31,37.49,24.16,6.91,34,100.0,Bachelor,Yes,Medium,Yes,B,Low
231,67.04,0.5,62.0,67.22,32.3,5.31,38,39.98,Bachelor,Yes,Medium,No,D,High
232,81.25,3.31,55.57,49.77,54.62,6.56,15,40.87,Master,Yes,Low,No,C,Medium
233,78.68,4.88,54.57,65.52,52.01,7.66,21,58.14,Bachelor,Yes,Low,Yes,B,Low
234,68.23,5.38,70.24,45.08,27.32,6.8,19,89.88,Bachelor,No,Low,Yes,C,Medium
235,100.0,2.55,100.0,57.71,90.66,7.49,18,89.99,Master,Yes,Medium,No,B,Low
236,87.51,0.5,85.71,55.7,36.44,8.86,34,38.95,High School,Yes,Medium,No,C,Medium
237,47.62,0.5,41.42,70.25,52.28,6.62,5,62.08,Bachelor,No,Low,No,F,High
238,80.8,4.65,88.1,88.96,54.01,7.03,5,56.27,High School,Yes,Medium,Yes,B,Low
239,68.07,2.86,49.99,73.31,83.43,8.57,14,43.97,Master,Yes,High,No,C,Medium
240,90.79,7.13,53.34,61.04,77.39,6.18,28,47.54,Bachelor,No,Low,Yes,B,Low
241,66.11,0.96,56.6,85.47,26.02,8.32,24,53.32,Bachelor,Yes,Low,No,C,Medium
242,76.28,4.12,43.86,73.61,26.72,6.33,8,15.93,Bachelor,Yes,High,No,C,Medium
243,85.57,6.49,88.14,29.37,66.96,5.37,31,42.02,High School,Yes,High,Yes,A,Low
244,90.99,3.87,54.56,58.24,73.09,4.66,26,63.46,Bachelor,Yes,High,No,B,Low
245,60.0,0.63,27.23,59.15,72.18,9.43,28,39.44,Bachelor,No,High,Yes,D,High
246,72.98,8.49,49.75,61.63,74.31,6.57,18,54.52,Master,Yes,Low,No,A,Low
247,70.88,6.35,68.56,63.02,89.26,4.0,13,53.78,Bachelor,Yes,Medium,Yes,A,Low
248,68.2,3.09,34.04,63.16,82.34,7.13,40,100.0,Bachelor,Yes,Medium,Yes,B,Low
249,100.0,4.97,69.86,83.09,88.12,7.52,13,37.17,High School,Yes,High,No,A,Low
250,84.07,4.99,49.01,94.53,73.57,8.89,8,72.24,High School,No,Medium,No,B,Low
251,59.09,4.66,85.09,67.28,100.0,4.3,40,57.17,High School,Yes,High,Yes,A,Low
252,91.77,1.01,73.19,68.23,81.51,8.33,10,32.71,Bachelor,Yes,Low,Yes,C,Medium
253,100.0,4.08,66.44,88.03,59.61,6.75,40,60.15,High School,Yes,Medium,Yes,B,Low
254,93.49,6.13,37.12,40.69,82.68,5.9,5,73.35,High School,Yes,Medium,Yes,B,Low
255,55.21,4.41,41.79,53.11,47.7,7.55,5,15.46,High School,Yes,Low,No,C,Medium
256,70.74,4.21,54.59,65.58,70.95,7.54,24,78.72,Master,Yes,Medium,Yes,B,Low
257,97.0,2.53,60.88,64.94,70.4,7.12,10,73.51,Bachelor,No,High,Yes,C,Medium
258,67.38,1.87,92.52,77.8,77.16,7.68,37,49.24,PhD,Yes,Medium,Yes,B,Low
259,84.66,0.67,70.33,60.66,39.26,6.43,29,69.67,High School,Yes,Medium,Yes,D,High
260,89.62,4.86,58.1,71.13,85.26,6.44,13,58.77,PhD,Yes,Medium,Yes,B,Low
261,64.1,3.1,91.55,94.9,59.03,7.24,20,53.97,Bachelor,Yes,High,Yes,B,Low
262,77.11,1.09,63.38,79.78,85.66,7.31,34,61.01,Bachelor,Yes,Medium,No,C,Medium
263,35.0,5.26,72.82,100.0,64.47,7.41,29,85.71,Bachelor,Yes,Medium,Yes,B,Low
264,62.63,2.44,92.97,62.95,66.28,5.63,18,75.3,High School,No,Low,No,C,Medium
265,74.21,1.96,77.9,66.07,56.25,6.74,19,69.18,High School,Yes,Medium,No,C,Medium
266,59.28,2.61,72.96,77.43,55.35,6.77,38,71.94,Bachelor,Yes,Medium,Yes,B,Low
267,100.0,3.15,75.46,68.19,70.2,7.91,21,72.77,Bachelor,Yes,Medium,No,B,Low
268,56.55,4.32,63.83,64.66,55.55,8.63,3,30.68,Master,Yes,Medium,Yes,C,Medium
