attendance,study_hours,quiz_score,assignment_score,midterm_score,sleep_hours,lms_login_count,participation,parent_education,internet_access,family_income,extracurricular,engagement_score,discipline_score,wellness_score,consistency_score,study_efficiency,attendance_band,high_engagement,target
69.57,4.15,43.96,81.03,34.76,5.19,9,50.84,Master,Yes,Low,No,50.5595,66.202,51.900000000000006,53.25,8.535922330097087,Average,0,C
62.81,3.49,75.96,59.54,76.95,5.86,19,34.77,Bachelor,Yes,Low,Yes,59.176,66.108,58.6,70.81666666666666,16.917594654788417,Average,0,C
82.71,3.38,52.35,75.83,52.04,9.44,14,26.52,Bachelor,No,High,No,56.5785,66.438,94.39999999999999,60.07333333333333,11.95205479452055,Good,0,B
64.38,5.89,36.2,68.45,64.5,5.97,3,54.74,Master,Yes,High,No,40.717999999999996,55.550000000000004,59.699999999999996,56.38333333333333,5.253991291727141,Average,0,B
56.82,3.07,0.0,59.09,69.65,9.48,40,49.68,Master,Yes,Low,No,92.307,35.454,94.80000000000001,42.913333333333334,0.0,Average,1,C
99.98,2.46,62.71,98.18,64.5,7.78,7,45.12,Bachelor,No,Low,No,56.773,83.992,77.8,75.13000000000001,18.1242774566474,Excellent,0,C
74.61,2.03,70.77,70.02,54.01,4.78,34,44.97,High School,Yes,Low,No,88.356,70.32,47.800000000000004,64.93333333333332,23.356435643564357,Good,1,C
79.01,3.19,89.08,49.15,76.4,7.99,18,60.97,High School,Yes,Medium,Yes,69.896,65.122,79.9,71.54333333333334,21.260143198090695,Good,0,B
56.63,2.18,33.77,99.54,74.72,6.87,4,37.81,Master,Yes,Low,No,35.272999999999996,73.232,68.7,69.34333333333333,10.619496855345913,Average,0,C
69.83,1.94,83.17,86.44,66.85,5.43,21,40.85,Bachelor,Yes,Low,No,66.15299999999999,85.132,54.3,78.82000000000001,28.289115646258505,Average,0,C
79.66,1.9,56.23,60.26,58.51,5.06,8,50.71,High School,Yes,High,No,52.558499999999995,58.647999999999996,50.599999999999994,58.333333333333336,19.389655172413793,Good,0,C
60.74,2.01,63.89,69.44,76.9,7.69,32,65.04,Bachelor,Yes,Medium,Yes,85.519,67.22,76.9,70.07666666666667,21.22591362126246,Average,1,C
83.64,2.13,65.1,81.62,48.01,7.57,39,47.78,High School,Yes,Low,Yes,99.719,75.012,75.7,64.91,20.798722044728432,Good,1,C
68.99,4.22,64.81,76.29,68.97,5.82,25,60.92,Bachelor,Yes,Low,Yes,76.8765,71.69800000000001,58.2,70.02333333333334,12.415708812260537,Average,0,B
73.62,0.5,28.41,83.4,70.36,7.14,32,66.43,Bachelor,Yes,Low,No,90.3745,61.403999999999996,71.39999999999999,60.723333333333336,18.94,Good,1,C
68.97,2.24,77.89,69.89,80.35,7.89,42,68.94,High School,Yes,Medium,Yes,104.3745,73.09,78.89999999999999,76.04333333333334,24.040123456790123,Average,1,B
100.0,3.32,80.02,61.48,72.24,6.0,44,85.31,Master,Yes,Medium,No,122.3275,68.896,60.0,71.24666666666667,18.523148148148145,Excellent,1,B
77.8,5.57,82.22,70.12,55.65,6.93,34,99.78,Master,No,Medium,Yes,103.175,74.96000000000001,69.3,69.33,12.514459665144596,Good,1,A
62.13,3.06,73.77,50.99,85.46,8.63,19,76.39,PhD,Yes,High,Yes,69.343,60.102000000000004,86.30000000000001,70.07333333333332,18.169950738916253,Average,0,B
90.34,3.22,61.27,63.98,78.91,6.76,15,61.89,High School,No,Medium,Yes,69.5915,62.896,67.6,68.05333333333333,14.518957345971563,Excellent,0,C
59.69,3.34,38.58,68.79,37.52,8.52,34,42.01,High School,Yes,Low,No,82.394,56.706,85.19999999999999,48.296666666666674,8.889400921658986,Average,1,C
81.13,0.5,73.07,74.45,72.48,6.61,26,59.47,High School,Yes,Medium,Yes,82.26299999999999,73.898,66.10000000000001,73.33333333333333,48.71333333333333,Good,1,C
48.6,4.69,65.69,95.59,68.5,4.8,10,50.82,Bachelor,Yes,Medium,No,44.714999999999996,83.63,48.0,76.59333333333333,11.544815465729348,Poor,0,B
58.08,4.61,64.96,52.3,84.21,6.12,9,66.19,Master,Yes,Low,No,50.3755,57.36399999999999,61.2,67.15666666666665,11.579322638146166,Average,0,B
80.95,4.97,72.93,93.35,83.36,6.29,16,100.0,Master,No,High,No,77.3325,85.182,62.9,83.21333333333332,12.216080402010052,Good,0,B
89.08,8.01,64.19,75.0,64.06,5.61,19,6.98,High School,Yes,Medium,Yes,61.422999999999995,70.676,56.1,67.75,7.124306326304106,Excellent,0,A
80.57,1.16,57.01,29.96,47.56,5.56,10,50.9,PhD,Yes,Medium,No,55.924499999999995,40.78,55.599999999999994,44.843333333333334,26.393518518518515,Good,0,D
76.27,0.82,43.76,88.06,55.77,4.91,32,72.61,High School,Yes,Low,Yes,92.847,70.34,49.1,62.53,24.043956043956044,Good,1,C
73.48,4.77,64.89,66.48,70.81,5.2,11,36.09,High School,Yes,Medium,No,51.2405,65.844,52.0,67.39333333333333,11.246100519930676,Good,0,B
55.82,2.89,91.52,92.54,65.33,9.12,41,75.51,Bachelor,Yes,Medium,No,99.9145,92.132,91.19999999999999,83.13,23.526992287917736,Average,1,B
67.2,1.73,45.15,58.3,72.85,6.0,44,40.37,Bachelor,Yes,Medium,No,99.6125,53.03999999999999,60.0,58.76666666666666,16.538461538461537,Average,1,C
71.09,2.99,83.06,61.85,82.06,6.34,29,53.21,High School,Yes,Medium,Yes,81.684,70.334,63.4,75.65666666666667,20.81704260651629,Good,1,B
93.86,2.39,77.86,80.56,66.94,7.65,6,70.96,High School,Yes,Medium,Yes,59.590999999999994,79.48,76.5,75.12,22.967551622418878,Excellent,0,C
83.15,6.6,34.18,41.13,60.7,6.55,15,71.3,Master,Yes,Medium,No,69.4275,38.35,65.5,45.336666666666666,4.497368421052632,Good,0,B
51.55,7.57,75.95,56.68,48.98,9.09,24,55.32,Bachelor,Yes,High,No,67.8725,64.388,90.9,60.53666666666666,8.862310385064177,Average,0,A
82.86,0.56,65.33,43.79,8.85,6.1,24,56.65,Bachelor,Yes,High,No,79.1635,52.406,61.0,39.32333333333333,41.878205128205124,Good,0,D
72.22,0.84,63.5,52.38,55.95,6.76,36,33.74,Master,Yes,High,No,87.71199999999999,56.828,67.6,57.276666666666664,34.51086956521739,Good,1,C
67.85,2.13,100.0,94.09,62.15,5.73,13,85.28,Bachelor,Yes,High,No,64.5675,96.45400000000001,57.300000000000004,85.41333333333334,31.94888178913738,Average,0,B
87.18,2.26,81.94,52.46,43.74,7.24,32,61.08,Bachelor,Yes,High,Yes,93.783,64.25200000000001,72.4,59.38,25.134969325153374,Excellent,1,C
93.46,2.1,48.29,56.12,75.43,6.16,8,73.15,Bachelor,Yes,Medium,Yes,62.9985,52.988,61.6,59.946666666666665,15.577419354838709,Excellent,0,C
91.97,3.15,76.52,22.93,47.53,4.89,22,72.41,High School,Yes,Low,No,83.292,44.366,48.9,48.99333333333333,18.438554216867466,Excellent,1,C
65.41,2.7,48.5,57.7,61.33,8.09,36,37.6,High School,Yes,High,Yes,86.2935,54.019999999999996,80.9,55.843333333333334,13.108108108108107,Average,1,C
73.36,1.06,49.25,18.65,54.86,6.02,21,76.29,Bachelor,No,Low,No,76.2485,30.89,60.199999999999996,40.92,23.90776699029126,Good,0,D
82.97,1.65,67.89,72.71,95.13,7.63,31,53.47,Bachelor,Yes,Medium,No,88.907,70.782,76.3,78.57666666666667,25.618867924528303,Good,1,C
92.63,6.28,86.13,80.42,92.67,9.9,15,98.73,Bachelor,Yes,Medium,No,79.603,82.70400000000001,99.0,86.40666666666668,11.831043956043954,Excellent,0,A
70.81,2.86,38.23,75.08,74.98,7.79,34,76.11,Bachelor,Yes,High,No,94.811,60.339999999999996,77.9,62.76333333333334,9.904145077720207,Good,1,B
75.22,2.76,55.93,43.66,61.82,5.31,30,94.01,Master,Yes,Low,Yes,94.8295,48.568,53.099999999999994,53.803333333333335,14.875,Good,1,C
61.4,0.76,86.17,66.95,71.16,5.91,13,47.05,High School,Yes,Medium,No,52.7525,74.638,59.1,74.76,48.96022727272727,Average,0,D
60.06,2.67,48.07,75.05,61.12,7.99,20,51.06,PhD,Yes,Low,Yes,63.786,64.258,79.9,61.413333333333334,13.098092643051771,Average,0,C
90.19,5.23,65.57,61.8,80.29,6.69,10,37.74,PhD,Yes,Medium,No,56.0015,63.30799999999999,66.9,69.22,10.524879614767253,Excellent,0,B
98.34,4.57,59.41,47.31,76.63,6.94,5,88.52,High School,Yes,Low,Yes,64.04899999999999,52.15,69.4,61.11666666666667,10.666068222621183,Excellent,0,B
76.92,4.96,87.98,83.15,75.58,5.62,34,74.11,Bachelor,No,Low,Yes,96.4495,85.082,56.2,82.23666666666666,14.761744966442954,Good,1,A
93.05,1.33,70.74,48.65,68.17,8.7,20,67.54,Bachelor,Yes,Medium,Yes,79.4525,57.486,87.0,62.52,30.360515021459225,Excellent,0,C
83.42,1.3,59.62,75.57,71.74,6.44,18,57.94,Master,Yes,Medium,Yes,70.682,69.19,64.4,68.97666666666667,25.921739130434784,Good,0,C
68.32,5.54,49.94,68.32,79.96,7.28,37,32.54,Bachelor,Yes,Low,No,87.547,60.967999999999996,72.8,66.07333333333332,7.636085626911314,Average,1,B
83.42,4.99,100.0,91.62,100.0,7.99,15,98.66,Bachelor,Yes,Medium,Yes,76.362,94.97200000000001,79.9,97.20666666666666,16.69449081803005,Good,0,A
100.0,3.03,63.64,100.0,82.44,6.0,28,89.17,Bachelor,Yes,Medium,Yes,99.2925,85.456,60.0,82.02666666666666,15.791563275434246,Excellent,1,B
77.46,5.04,60.93,58.92,35.95,8.66,20,28.23,Bachelor,Yes,Medium,No,64.1685,59.724,86.6,51.93333333333334,10.08774834437086,Good,0,B
100.0,1.33,73.99,49.13,60.25,7.39,17,7.6,PhD,Yes,Low,Yes,62.4,59.074,73.89999999999999,61.123333333333335,31.75536480686695,Excellent,0,C
38.7,1.26,77.94,70.26,50.5,6.16,14,81.93,High School,Yes,Low,No,55.0275,73.332,61.6,66.23333333333333,34.48672566371682,Poor,0,D
90.33,0.59,39.8,68.56,61.76,6.54,2,57.47,High School,Yes,Medium,Yes,48.983,57.056000000000004,65.4,56.70666666666667,25.031446540880502,Excellent,0,D
79.31,4.15,61.58,77.81,59.67,5.15,29,93.26,Master,Yes,Low,Yes,94.5735,71.318,51.5,66.35333333333334,11.957281553398056,Good,1,B
73.51,3.89,45.7,55.86,59.01,9.03,6,61.85,High School,No,Low,No,50.191,51.796,90.3,53.52333333333333,9.34560327198364,Good,0,C
79.38,2.56,54.84,55.91,71.82,8.76,6,64.87,Bachelor,Yes,Medium,Yes,53.0005,55.482,87.6,60.85666666666666,15.404494382022472,Good,0,C
48.19,2.1,87.92,66.5,60.75,6.23,21,32.64,Bachelor,Yes,Low,Yes,56.5265,75.068,62.300000000000004,71.72333333333334,28.361290322580643,Poor,0,C
74.7,7.85,85.76,72.83,78.38,7.14,37,58.04,High School,Yes,High,Yes,96.155,78.00200000000001,71.39999999999999,78.99,9.69039548022599,Good,1,A
83.36,3.03,75.6,49.84,55.69,6.44,39,24.37,Bachelor,Yes,Medium,Yes,93.76849999999999,60.144,64.4,60.376666666666665,18.759305210918114,Good,1,C
100.0,6.0,39.71,65.99,45.36,6.71,33,68.99,High School,Yes,High,No,101.7475,55.477999999999994,67.1,50.35333333333333,5.672857142857143,Excellent,1,A
70.23,3.24,68.36,66.74,60.75,5.02,30,99.48,High School,Yes,Low,No,94.4505,67.388,50.199999999999996,65.28333333333333,16.12264150943396,Good,1,C
65.87,2.6,54.64,78.52,51.54,7.99,3,40.87,High School,Yes,Low,No,37.772,68.96799999999999,79.9,61.56666666666666,15.177777777777777,Average,0,C
70.47,6.05,82.85,66.69,82.18,7.56,29,51.13,Master,No,Medium,Yes,80.947,73.154,75.6,77.24,11.75177304964539,Good,1,A
91.73,4.92,54.86,86.54,77.12,6.74,10,53.89,Bachelor,Yes,Low,No,60.578,73.868,67.4,72.84,9.266891891891891,Excellent,0,B
82.93,3.46,50.1,78.5,85.47,5.36,10,44.69,Bachelor,Yes,Low,Yes,55.198,67.14,53.6,71.35666666666667,11.233183856502242,Good,0,C
70.05,5.54,71.49,39.56,42.62,7.33,14,55.59,Bachelor,Yes,Medium,No,59.415,52.332,73.3,51.22333333333333,10.931192660550458,Good,0,B
85.7,8.04,86.84,64.28,30.31,4.62,19,67.89,Bachelor,Yes,Medium,No,75.4675,73.304,46.2,60.47666666666667,9.606194690265488,Excellent,0,A
79.46,2.18,84.22,86.57,96.62,6.19,3,90.95,Bachelor,No,Medium,Yes,55.0485,85.63,61.900000000000006,89.13666666666666,26.484276729559745,Good,0,C
92.53,4.35,88.39,53.12,39.14,5.87,35,37.0,Bachelor,Yes,Medium,Yes,94.13550000000001,67.228,58.7,60.21666666666666,16.521495327102805,Excellent,1,B
67.47,2.76,88.55,72.31,78.08,5.38,27,77.4,Bachelor,Yes,Medium,Yes,83.4645,78.80600000000001,53.8,79.64666666666666,23.550531914893618,Average,1,B
73.09,1.82,94.39,74.02,75.6,10.0,29,75.58,High School,No,Medium,No,87.9765,82.168,100.0,81.33666666666666,33.47163120567375,Good,1,C
72.12,1.77,68.25,70.28,62.54,6.62,34,27.69,Bachelor,Yes,High,No,83.1645,69.468,66.2,67.02333333333333,24.63898916967509,Good,1,C
56.05,6.37,57.0,61.9,57.31,7.3,37,60.97,Bachelor,Yes,High,Yes,90.36,59.94,73.0,58.73666666666667,7.734056987788331,Average,1,B
82.44,0.5,50.14,68.79,42.36,7.97,25,51.54,Bachelor,No,Low,Yes,79.239,61.33,79.7,53.76333333333334,33.42666666666667,Good,0,D
81.92,4.41,86.5,59.0,85.81,7.78,7,31.26,Bachelor,Yes,Medium,Yes,46.986999999999995,70.0,77.8,77.10333333333334,15.98890942698706,Good,0,B
78.08,2.01,61.89,56.48,76.73,5.86,41,66.28,Master,Yes,Medium,No,105.398,58.644,58.6,65.03333333333335,20.561461794019934,Good,1,B
74.48,6.69,48.62,82.8,100.0,5.36,42,65.12,Bachelor,Yes,Low,Yes,105.348,69.128,53.6,77.14,6.322496749024706,Good,1,A
56.77,3.01,74.41,63.13,59.88,6.16,35,24.56,High School,Yes,High,Yes,78.5095,67.642,61.6,65.80666666666666,18.556109725685786,Average,0,B
71.69,2.84,38.95,100.0,60.94,7.05,15,58.63,Bachelor,Yes,High,No,62.248999999999995,75.58,70.5,66.63,10.143229166666668,Good,0,C
72.86,6.33,45.56,44.66,39.14,6.13,28,43.71,Bachelor,No,High,No,78.4285,45.019999999999996,61.3,43.120000000000005,6.215552523874488,Good,0,C
65.97,5.08,68.91,70.03,75.26,6.98,43,34.05,Master,Yes,Medium,Yes,96.102,69.582,69.80000000000001,71.39999999999999,11.333881578947368,Average,1,B
75.58,4.5,80.88,55.0,18.23,7.63,30,44.27,Bachelor,Yes,Medium,No,82.5205,65.352,76.3,51.37,14.705454545454545,Good,1,B
84.06,4.95,59.04,80.39,26.74,9.37,40,33.53,Bachelor,Yes,Medium,No,97.8035,71.85,93.69999999999999,55.39000000000001,9.922689075630252,Good,1,B
100.0,1.55,60.81,49.76,66.35,8.88,31,78.33,Bachelor,Yes,High,Yes,101.0825,54.18,88.80000000000001,58.97333333333333,23.847058823529416,Excellent,1,B
80.62,4.84,79.16,85.96,71.93,6.39,12,75.33,Master,Yes,Medium,No,65.0495,83.24,63.9,79.01666666666667,13.554794520547945,Good,0,B
81.86,3.14,79.92,79.87,49.62,7.3,4,43.27,High School,Yes,Low,Yes,45.4685,79.89000000000001,73.0,69.80333333333334,19.304347826086953,Good,0,C
76.88,4.15,27.65,51.2,39.18,7.07,34,68.1,Bachelor,Yes,Low,No,94.93299999999999,41.78,70.7,39.343333333333334,5.36893203883495,Good,1,C
49.22,4.37,91.7,62.34,62.69,4.63,22,68.8,Master,Yes,Medium,No,67.42699999999999,74.084,46.3,72.24333333333334,17.07635009310987,Poor,0,C
77.6,1.5,59.11,75.18,47.73,6.95,41,74.49,High School,Yes,Low,Yes,107.2825,68.75200000000001,69.5,60.67333333333334,23.644,Good,1,C
78.9,4.57,51.56,83.27,47.23,5.9,29,93.35,Bachelor,Yes,Medium,Yes,94.4525,70.586,59.0,60.68666666666666,9.25673249551167,Good,1,B
100.0,3.16,56.57,77.57,71.97,8.29,9,75.71,Bachelor,No,High,No,67.4275,69.16999999999999,82.89999999999999,68.70333333333333,13.598557692307692,Excellent,0,B
75.11,1.27,40.44,64.49,100.0,7.84,12,70.23,Bachelor,Yes,Medium,No,61.846000000000004,54.86999999999999,78.4,68.31,17.81497797356828,Good,0,C
82.52,3.24,100.0,100.0,49.54,4.91,40,82.64,Master,Yes,Low,No,109.542,100.0,49.1,83.17999999999999,23.58490566037736,Good,1,B
77.48,3.54,41.51,87.09,62.12,6.8,40,53.79,Bachelor,Yes,Medium,No,100.5655,68.858,68.0,63.57333333333333,9.1431718061674,Good,1,B
60.47,4.57,38.02,52.77,63.91,6.05,16,63.22,PhD,Yes,Medium,Yes,60.9695,46.870000000000005,60.5,51.56666666666666,6.825852782764811,Average,0,C
95.14,0.5,60.29,68.62,43.87,8.33,29,70.56,PhD,Yes,High,No,94.439,65.28800000000001,83.3,57.593333333333334,40.193333333333335,Excellent,1,C
89.28,4.2,40.16,100.0,57.44,6.39,7,47.18,Bachelor,Yes,Low,No,53.543,76.064,63.9,65.86666666666666,7.723076923076922,Excellent,0,B
89.87,2.58,67.2,74.47,58.39,7.85,39,61.92,High School,Yes,Low,Yes,105.4345,71.562,78.5,66.68666666666667,18.77094972067039,Excellent,1,B
64.36,4.96,94.55,68.49,57.04,8.32,6,54.81,Bachelor,Yes,Medium,No,45.2285,78.91399999999999,83.2,73.36,15.864093959731543,Average,0,B
99.04,3.5,67.97,61.57,50.51,5.89,5,43.79,High School,Yes,Medium,Yes,53.1115,64.13,58.9,60.01666666666666,15.104444444444445,Excellent,0,C
56.97,2.9,71.1,50.52,67.3,7.25,35,78.05,High School,Yes,High,No,91.952,58.751999999999995,72.5,62.973333333333336,18.23076923076923,Average,1,B
86.8,3.18,59.76,66.74,59.58,7.58,35,48.94,High School,No,Medium,Yes,95.115,63.94799999999999,75.8,62.026666666666664,14.29665071770335,Excellent,1,C
100.0,4.1,46.26,65.81,16.79,10.0,11,47.83,Bachelor,Yes,Medium,Yes,63.457499999999996,57.989999999999995,100.0,42.953333333333326,9.070588235294117,Excellent,0,C
63.14,5.13,59.74,44.15,100.0,7.84,34,54.66,PhD,Yes,High,Yes,86.764,50.385999999999996,78.4,67.96333333333332,9.745513866231649,Average,1,A
69.51,1.9,83.98,54.14,42.7,6.06,16,51.12,Bachelor,Yes,Low,No,61.1085,66.07600000000001,60.599999999999994,60.27333333333333,28.958620689655174,Average,0,C
79.49,2.88,89.44,83.24,38.53,10.0,11,79.8,High School,Yes,Medium,Yes,64.2715,85.72,100.0,70.40333333333334,23.051546391752577,Good,0,B
70.45,6.14,65.75,48.98,17.53,7.7,12,61.65,High School,Yes,Low,Yes,58.07,55.688,77.0,44.086666666666666,9.208683473389357,Good,0,B
54.74,2.85,80.79,64.91,97.58,9.22,18,44.2,Master,Yes,Low,Yes,57.209,71.262,92.2,81.09333333333332,20.984415584415586,Average,0,B
79.03,4.16,51.05,75.42,42.01,8.05,42,75.73,Bachelor,Yes,Low,No,109.593,65.672,80.5,56.16,9.893410852713178,Good,1,B
62.07,1.28,53.93,76.32,23.73,7.2,27,40.0,High School,Yes,Medium,No,72.2245,67.364,72.0,51.32666666666666,23.653508771929822,Average,0,D
85.1,0.5,36.2,93.12,50.16,9.62,43,65.12,High School,Yes,Low,No,110.565,70.352,96.19999999999999,59.82666666666666,24.133333333333336,Excellent,1,C
64.21,1.63,84.96,62.95,74.31,4.0,38,25.92,High School,Yes,Low,Yes,85.95349999999999,71.754,40.0,74.07333333333334,32.3041825095057,Average,1,C
100.0,2.26,54.63,68.28,52.06,5.59,42,34.05,Bachelor,Yes,Medium,Yes,106.5125,62.82,55.9,58.32333333333333,16.757668711656443,Excellent,1,C
66.25,5.37,41.1,95.75,23.77,9.1,24,72.52,Bachelor,Yes,Low,No,77.3175,73.89,91.0,53.54,6.452119309262167,Average,0,B
73.17,5.57,74.03,57.82,56.65,6.04,14,23.44,Master,No,Medium,No,52.4695,64.304,60.4,62.833333333333336,11.267884322678842,Good,0,B
90.2,0.5,89.18,67.61,43.44,4.65,34,73.59,Bachelor,Yes,Medium,No,100.9675,76.238,46.5,66.74333333333334,59.45333333333334,Excellent,1,C
59.54,2.53,58.32,69.88,74.87,8.57,18,48.47,High School,Yes,Medium,No,59.9565,65.256,85.7,67.69,16.521246458923514,Average,0,C
81.41,4.76,33.12,65.78,55.5,7.23,35,24.41,Master,Yes,High,Yes,87.096,52.715999999999994,72.30000000000001,51.46666666666667,5.75,Good,1,B
97.61,3.31,59.17,83.91,69.58,5.83,38,67.77,High School,Yes,Low,Yes,108.106,74.014,58.3,70.88666666666666,13.728538283062644,Excellent,1,B
53.89,6.21,69.3,29.8,79.7,8.37,14,45.56,High School,No,Medium,Yes,51.2515,45.599999999999994,83.69999999999999,59.6,9.611650485436893,Average,0,B
80.77,4.71,75.72,60.42,64.01,5.29,10,41.9,High School,Yes,Medium,No,53.744499999999995,66.54,52.9,66.71666666666665,13.26094570928196,Good,0,B
81.9,3.02,78.98,79.44,65.15,5.09,3,86.14,High School,No,Medium,Yes,54.7,79.256,50.9,74.52333333333334,19.646766169154233,Good,0,C
89.73,3.18,66.37,53.54,70.86,5.4,12,41.21,High School,No,Medium,Yes,59.708,58.672,54.0,63.589999999999996,15.877990430622011,Excellent,0,C
59.45,3.4,60.34,55.08,66.85,8.91,11,25.04,Master,Yes,High,No,43.5675,57.184,89.1,60.75666666666666,13.713636363636363,Average,0,C
58.19,1.98,77.34,61.68,39.19,6.66,10,37.0,Master,Yes,Low,No,44.6165,67.944,66.6,59.403333333333336,25.95302013422819,Average,0,D
85.83,5.19,41.18,91.57,33.44,6.82,22,52.63,Bachelor,Yes,High,Yes,76.19800000000001,71.41399999999999,68.2,55.39666666666667,6.652665589660742,Excellent,0,B
82.45,4.84,47.56,71.52,100.0,8.88,18,49.49,Master,No,Medium,Yes,68.22999999999999,61.936,88.80000000000001,73.02666666666666,8.143835616438357,Good,0,B
81.76,4.32,51.91,65.69,100.0,7.2,18,22.95,Bachelor,Yes,High,Yes,61.3535,60.178,72.0,72.53333333333333,9.75751879699248,Good,0,B
83.2,3.94,57.05,49.4,27.24,7.82,37,71.61,Bachelor,Yes,Low,Yes,102.5225,52.459999999999994,78.2,44.56333333333333,11.548582995951417,Good,1,B
67.8,1.67,40.11,71.37,49.01,7.34,24,50.48,High School,Yes,Medium,Yes,72.35,58.866,73.4,53.49666666666667,15.02247191011236,Average,0,C
81.48,4.41,82.5,45.72,67.93,6.92,9,94.56,Master,Yes,Medium,No,65.658,60.432,69.2,65.38333333333334,15.249537892791126,Good,0,B
82.4,3.73,43.18,33.66,67.19,8.5,43,92.12,High School,No,Low,Yes,116.37,37.468,85.0,48.01,9.128964059196617,Good,1,B
67.28,7.1,16.61,61.45,67.33,4.89,43,86.39,Bachelor,Yes,High,Yes,109.6455,43.513999999999996,48.9,48.46333333333333,2.050617283950617,Average,1,A
100.0,1.17,82.76,30.3,42.14,7.4,3,53.45,High School,No,Low,Yes,52.8625,51.284000000000006,74.0,51.73333333333333,38.13824884792627,Excellent,0,D
85.11,2.2,74.28,63.35,54.85,8.71,6,93.63,Bachelor,No,High,Yes,62.196,67.72200000000001,87.10000000000001,64.16,23.2125,Excellent,0,C
60.13,0.64,63.91,85.75,84.53,9.0,37,47.9,High School,Yes,High,Yes,88.5205,77.014,90.0,78.06333333333333,38.96951219512194,Average,1,C
87.85,3.11,73.43,93.04,63.96,6.51,44,49.84,High School,Yes,Medium,Yes,109.2075,85.19600000000001,65.1,76.81000000000002,17.866180048661803,Excellent,1,B
63.38,0.5,66.96,81.87,52.29,5.07,22,74.64,High School,Yes,Low,Yes,73.843,75.906,50.7,67.03999999999999,44.63999999999999,Average,0,D
89.81,5.63,85.95,84.02,41.75,5.76,31,44.51,High School,Yes,Medium,Yes,89.061,84.792,57.599999999999994,70.57333333333334,12.963800904977376,Excellent,1,A
95.38,5.47,51.17,62.82,80.03,8.88,32,65.94,Bachelor,Yes,Low,Yes,97.868,58.160000000000004,88.80000000000001,64.67333333333333,7.908809891808347,Excellent,1,A
65.69,3.21,96.23,55.96,64.97,6.03,44,100.0,Master,Yes,Medium,No,113.9915,72.06800000000001,60.300000000000004,72.38666666666667,22.85748218527316,Average,1,B
92.45,1.68,82.06,75.94,54.63,9.47,37,69.9,Bachelor,Yes,Low,No,105.33250000000001,78.388,94.7,70.87666666666667,30.619402985074633,Excellent,1,B
84.19,0.76,54.08,80.73,73.06,5.63,3,65.32,High School,Yes,Low,No,50.296499999999995,70.07000000000001,56.3,69.29,30.727272727272727,Good,0,D
90.33,2.23,51.21,74.45,59.72,6.38,30,68.58,High School,Yes,Medium,Yes,93.7605,65.154,63.8,61.79333333333333,15.854489164086688,Excellent,1,C
